id,first_name,last_name,licence_number,role,phone_number,email,address,town,postcode,qualifications,training_completed,facilitites,licence_type
11,Dotti,Vallery,46-6718435,NPRC,601-816-4355,dvallerya@biglobe.ne.jp,196 Schurz Lane,Cavaillon,84309 CEDEX,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Small animal facility,PIL
12,Arabela,Litherland,66-3028588,NPRC,222-488-3652,alitherlandb@cocolog-nifty.com,246 Monterey Court,Zhongshan,,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Bird facility,PIL
13,Shoshanna,Kidd,84-0625775,NIO,,skiddc@deliciousdays.com,81870 Morrow Street,Babakantugu,,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Bird facility,PIL
14,Ninon,Locarno,71-0321646,NVS,921-682-6844,nlocarnod@craigslist.org,35680 Thompson Center,Tsukuba,369-0114,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Large animal facility,PPL
15,Frederich,Fairhurst,14-6492141,NPRC,403-940-6941,ffairhurste@ehow.com,20590 Monterey Street,Badong,,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Fish facility,PIL
16,Sargent,Ceccoli,05-1941942,NVS,817-123-3929,sceccolif@disqus.com,42 Westport Center,Ngujung,,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Fish facility,PIL
17,Ralina,Tabert,67-1004712,NPRC,528-782-4691,rtabertg@cnbc.com,7380 Fair Oaks Junction,Arbaoua,,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Bird facility,PIL
18,Barnard,Parlatt,91-9617319,HOLC,986-977-9528,bparlatth@blog.com,111 Twin Pines Park,Piteå,941 22,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Bird facility,PIL
19,Darya,Giacovelli,76-5890432,NIO,384-651-3293,dgiacovellii@4shared.com,5 Maryland Place,Dubravica,,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Small animal facility,PIL
20,Ruperto,Rosenvasser,54-8467643,HOLC,,rrosenvasserj@geocities.com,60 Oakridge Hill,Kobylí,691 10,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Fish facility,PIL
21,Myrilla,Pryor,09-7236200,NVS,332-400-1690,mpryork@51.la,177 Bobwhite Road,Borlänge,781 29,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Fish facility,PPL
22,Torry,Sprowle,92-2860675,HOLC,918-164-2110,tsprowlel@census.gov,9632 Redwing Trail,Pervoural’sk,623109,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Large animal facility,PIL
23,Thorn,Blakiston,40-0413553,NVS,590-513-5617,tblakistonm@fastcompany.com,882 Manley Court,Sumberejo,,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Large animal facility,PIL
24,Wyatt,Loghan,58-9881159,NVS,,wloghann@cloudflare.com,21470 Nevada Parkway,Storozhynets’,,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Bird facility,PIL
25,Dorothee,Aujean,53-9141800,HOLC,385-822-1403,daujeano@theatlantic.com,6184 Grayhawk Drive,Taphan Hin,66110,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Small animal facility,PIL
26,Calv,Lamey,90-3490774,NTCO,341-136-6159,clameyp@ebay.com,786 Ilene Pass,Moreira de Geraz do Lima,4905-266,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Bird facility,PIL
27,Katy,Bettis,94-9796471,NIO,507-361-0486,kbettisq@ow.ly,45891 Thierer Park,Biyong,,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Large animal facility,PIL
28,Vasilis,Yeates,37-1079302,NIO,612-646-7471,vyeatesr@cam.ac.uk,381 Spenser Center,Rushanzhai,,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Bird facility,PPL
29,Vilhelmina,Wickerson,18-2154558,HOLC,,vwickersons@unblog.fr,023 Susan Road,Burqah,,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Small animal facility,PIL
30,Delcine,Yepiskov,57-9069256,NPRC,300-475-1442,dyepiskovt@dell.com,81 Kinsman Alley,Temirtau,,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Bird facility,PIL
31,Lindon,Lightollers,28-3864009,NIO,666-457-6551,llightollersu@dailymotion.com,3 Sommers Point,Liutao,,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Large animal facility,PIL
32,Jaimie,Dacre,45-4192234,NIO,119-374-1607,jdacrev@github.com,852 Texas Street,Nyuksenitsa,161396,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Bird facility,PIL
33,Derward,Waggett,64-2817726,NPRC,,dwaggettw@usatoday.com,74 Waubesa Circle,Venlo,5904,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Fish facility,PIL
34,Forester,Cureton,82-5356542,NVS,580-898-7244,fcuretonx@google.it,96 Twin Pines Way,Cerro Blanco,,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Fish facility,PIL
35,Birgitta,Dimmer,77-8107094,NIO,635-130-9789,bdimmery@state.gov,68 Reindahl Terrace,Brits,277,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Small animal facility,PIL
36,Jade,Rous,25-3962687,NTCO,588-130-1881,jrousz@ustream.tv,7363 Summit Court,Ipubi,56260-000,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Fish facility,PIL
37,Delila,Gildea,66-7691989,NACWO,212-927-7958,dgildea10@smugmug.com,81 Marquette Plaza,New York City,10131,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Fish facility,PPL
38,Ring,Cecely,99-2783529,NPRC,607-566-0444,rcecely11@tinyurl.com,602 Lake View Hill,Dulce Nombre,,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Large animal facility,PIL
39,Camila,Meaking,77-4808238,NACWO,207-579-0584,cmeaking12@dyndns.org,261 Village Parkway,Kuala Lumpur,50515,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Small animal facility,PIL
40,Aurore,O' Clovan,11-3842773,NTCO,175-252-2562,aoclovan13@newsvine.com,1 3rd Trail,Yasynuvata,,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Large animal facility,PIL
41,Jorie,Simoni,42-7253292,NTCO,238-880-7025,jsimoni14@tumblr.com,6 Old Shore Way,Mirsk,59-630,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Small animal facility,PIL
42,Jorge,Miguet,56-9634615,NACWO,182-305-7131,jmiguet15@vinaora.com,3322 Jana Hill,Ouro Sogui,,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Fish facility,PIL
43,Jaynell,Kirkbride,84-5444820,NTCO,338-269-1904,jkirkbride16@edublogs.org,8 Pine View Way,Valinhos,13270-000,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Small animal facility,PIL
44,Del,Fulle,77-5240111,NIO,176-263-7674,dfulle17@goo.ne.jp,9095 Mariners Cove Circle,Berkovitsa,3500,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Fish facility,PIL
45,Bernice,Gaither,82-6690846,NIO,673-528-3984,bgaither18@miitbeian.gov.cn,0480 Jay Trail,Las Piñas,1752,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Small animal facility,PIL
46,Jeanne,Paaso,79-8991535,HOLC,784-286-9722,jpaaso19@examiner.com,7 Sycamore Street,Knežica,,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Fish facility,PIL
47,Maryanne,McGinn,93-6856500,NVS,237-285-2507,mmcginn1a@ehow.com,74013 Macpherson Court,Zhenhai,,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Large animal facility,PIL
48,Ely,Standley,31-3254164,HOLC,705-384-2595,estandley1b@pen.io,5 Pearson Place,Karanggeneng,,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Small animal facility,PIL
49,Sargent,Franzoli,28-9372554,NVS,848-844-7314,sfranzoli1c@java.com,2 Toban Avenue,Norrtälje,761 31,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Small animal facility,PIL
50,Rudd,Montes,56-3694274,NPRC,234-499-7488,rmontes1d@cbc.ca,9597 Twin Pines Trail,Baćkowice,27-552,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Small animal facility,PPL
51,Clement,Vian,82-2583279,NACWO,366-353-8229,cvian1e@ocn.ne.jp,2 Lillian Drive,Jardim,79240-000,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Bird facility,PIL
52,Wandis,Rabson,66-1735723,NVS,,wrabson1f@cnbc.com,7651 Mitchell Hill,Perniö,25501,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Large animal facility,PIL
53,Dorothea,Seggie,99-5457748,HOLC,261-451-1958,dseggie1g@omniture.com,00866 Armistice Way,Huzhen,,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Bird facility,PPL
54,Janella,Paviour,93-9187935,NACWO,731-819-5827,jpaviour1h@spotify.com,89030 Loeprich Plaza,Baras,4803,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Fish facility,PIL
55,Saunderson,Hagger,92-5553811,NPRC,511-737-6783,shagger1i@earthlink.net,5837 Montana Lane,Dante Delgado,96710,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Bird facility,PIL
56,Minor,Coulthard,20-1878286,NIO,896-262-8800,mcoulthard1j@cornell.edu,20 Banding Junction,Jiangpu,,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Fish facility,PIL
57,Christan,McChruiter,24-0209247,NACWO,229-478-2626,cmcchruiter1k@clickbank.net,8 Ryan Point,Stockholm,117 97,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Fish facility,PIL
58,Romona,Anan,05-7470586,NVS,914-913-9438,ranan1l@cdc.gov,378 Hazelcrest Way,Tabira,56780-000,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Fish facility,PIL
59,Mella,Leasor,40-3692149,NACWO,753-974-4640,mleasor1m@gmpg.org,6900 Mitchell Junction,Alurbulu,,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Bird facility,PIL
60,Paolo,Chavrin,49-4725843,NIO,108-318-5931,pchavrin1n@constantcontact.com,7 Sunnyside Avenue,Ljukovo,,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Bird facility,PIL
61,Fernando,Fellona,52-3517203,NTCO,780-750-2202,ffellona1o@bandcamp.com,477 Shoshone Way,Krasnokamsk,397325,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Bird facility,PIL
62,Gregg,Dransfield,29-5594050,NTCO,715-636-2341,gdransfield1p@berkeley.edu,3597 Warbler Pass,Bandung,,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Fish facility,PPL
63,Sebastian,Higgoe,26-6288211,NACWO,112-948-7822,shiggoe1q@gov.uk,91 Packers Pass,Gazimurskiy Zavod,102213,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Fish facility,PIL
64,Kenneth,Pellew,38-5077112,NACWO,,kpellew1r@usa.gov,296 Miller Hill,Sanjian,,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Bird facility,PIL
65,Kerk,Beeden,35-7114905,NVS,967-163-5402,kbeeden1s@unesco.org,3907 Trailsway Plaza,Tuguan,,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Fish facility,PIL
66,Ettie,Trotman,95-1177096,NTCO,401-638-1577,etrotman1t@rambler.ru,90631 Del Sol Avenue,Orsha,,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Small animal facility,PIL
67,Annnora,Mole,18-9707870,NPRC,301-138-9814,amole1u@huffingtonpost.com,8 Dexter Point,Dayeuhluhur,,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Bird facility,PIL
68,Taryn,Hitscher,33-1699326,NTCO,895-574-2497,thitscher1v@wunderground.com,87612 Forest Trail,Pacar,,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Large animal facility,PPL
69,Link,Yglesia,07-7918078,NACWO,908-448-0046,lyglesia1w@youku.com,952 Springview Alley,Zavitinsk,391710,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Fish facility,PIL
70,Perrine,Hodjetts,29-3434702,HOLC,889-699-7417,phodjetts1x@seattletimes.com,2799 Sutteridge Trail,Naguanagua,,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Bird facility,PIL
71,Emlyn,Ewence,17-1311314,HOLC,715-816-9634,eewence1y@aboutads.info,31 Anderson Court,Stockholm,101 22,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Fish facility,PIL
72,Artus,Smolan,06-2571284,NTCO,719-973-5755,asmolan1z@smh.com.au,9876 4th Crossing,Monching,7006,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Large animal facility,PIL
73,Henrie,Tyrrell,83-1575380,NVS,550-557-7865,htyrrell20@reddit.com,1 Ramsey Lane,Vukovije Donje,,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Small animal facility,PIL
74,Allayne,Ferre,93-8465991,NVS,192-649-9626,aferre21@blogspot.com,94 Orin Way,Huancheng,,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Bird facility,PIL
75,Dulce,Soles,19-8973007,NVS,698-892-5580,dsoles22@t-online.de,666 Buell Trail,Iporã,87560-000,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Small animal facility,PIL
76,Judie,Lester,89-4827008,NTCO,535-201-8413,jlester23@furl.net,8967 Morning Parkway,Týn nad Vltavou,375 01,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Fish facility,PIL
77,Gaye,Conlaund,31-4749366,NPRC,227-600-7722,gconlaund24@wix.com,04 Hintze Parkway,Śliwice,89-530,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Large animal facility,PIL
78,Alva,Kubczak,40-4082986,NTCO,555-805-3481,akubczak25@prlog.org,625 Bonner Parkway,Ganjun,,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Large animal facility,PIL
79,Farand,Daton,79-3404319,NPRC,326-884-5608,fdaton26@cbslocal.com,5 Petterle Way,Guérande,44356 CEDEX,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Large animal facility,PIL
80,Sydel,Glossup,36-5442410,NPRC,924-227-9679,sglossup27@sohu.com,33 Clyde Gallagher Pass,Vale de São Cosme,4770-565,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Large animal facility,PPL
81,Hi,Mazzey,16-0288093,HOLC,,hmazzey28@drupal.org,09 Graceland Court,Pondokrejo Wetan,,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Small animal facility,PIL
82,Sarine,D'Adda,16-8537906,NTCO,821-132-8579,sdadda29@va.gov,19220 Troy Avenue,Sungaimaja,,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Fish facility,PPL
83,Fancy,Tootell,54-2863336,NACWO,439-575-7884,ftootell2a@gmpg.org,85 Transport Alley,Marilao,3019,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Small animal facility,PIL
84,Birgit,Cotgrove,49-4100951,NVS,829-459-5498,bcotgrove2b@nih.gov,28 Acker Pass,Tungdor,,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Fish facility,PIL
85,Stephannie,Ilott,40-2959402,NTCO,297-158-6931,silott2c@hexun.com,2 North Terrace,Đạ Tẻh,,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Small animal facility,PIL
86,Desmund,Oseland,43-5900960,HOLC,469-647-5381,doseland2d@example.com,6 Blue Bill Park Way,Cerrito,681509,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Fish facility,PIL
87,Benjamen,Grafom,51-2804648,NVS,138-343-0461,bgrafom2e@flavors.me,7616 Aberg Court,Livingstone,,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Large animal facility,PIL
88,Edie,Everist,48-0422408,NTCO,863-277-0380,eeverist2f@java.com,50044 Rowland Place,Maisons-Alfort,94704 CEDEX,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Large animal facility,PIL
89,Andy,Spoors,34-3706462,NVS,129-391-6156,aspoors2g@google.com.au,423 Bay Hill,Laval,53022 CEDEX 9,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Bird facility,PIL
90,Brantley,Nisbith,40-2885509,NIO,976-894-3860,bnisbith2h@etsy.com,9 Fairview Plaza,Niquelândia,76420-000,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Bird facility,PPL
91,Wynne,Westrey,38-3772626,NACWO,425-208-2628,wwestrey2i@census.gov,26 Buena Vista Road,Taavetti,54501,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Small animal facility,PIL
92,Jordain,Warboy,68-0974933,HOLC,360-378-4820,jwarboy2j@msu.edu,8680 Holy Cross Center,Quwaysinā,,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Small animal facility,PIL
93,Simona,Loxley,44-8022971,NTCO,461-289-6106,sloxley2k@blogs.com,39 Granby Avenue,Tangguhang,,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Fish facility,PIL
94,Ann,Gilluley,41-5330163,NVS,144-389-6239,agilluley2l@fema.gov,0 Quincy Lane,Smyshlyayevka,461990,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Small animal facility,PIL
95,Corissa,Abramcik,67-4323899,NIO,,cabramcik2m@google.pl,6927 Grover Terrace,Oslo,620,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Fish facility,PIL
96,Faina,Do,41-7578042,NPRC,156-355-4771,fdo2n@addthis.com,3506 7th Plaza,Mierzęcice,42-460,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Fish facility,PIL
97,Sean,Fontaine,77-7600075,NPRC,369-453-2304,sfontaine2o@woothemes.com,84 Carpenter Alley,Pilar,8420,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Small animal facility,PIL
98,Faun,Berryann,37-8288989,NPRC,293-157-8037,fberryann2p@ow.ly,8 Sycamore Hill,Rano,,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Fish facility,PPL
99,Tallia,Sommerling,24-1148351,NTCO,737-827-4797,tsommerling2q@berkeley.edu,930 Calypso Pass,Perzów,63-642,MSc Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Fish facility,PPL
100,Thia,Zorzoni,14-5544192,NPRC,662-540-6797,tzorzoni2r@yelp.com,625 Haas Way,Dzüyl,,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Small animal facility,PIL
